"t","Ta","Tinner","Touter","Pinner","Pouter"
1706103930,21.06,54.166,52.9686,0,300
1706103940,21.027,54.0991,53.3207,240,300
1706103950,20.6205,54.399,53.7954,300,300
1706103960,20.244,55.4874,54.2471,300,300
1706103970,20.223,56.881,54.7282,300,300
1706103980,20.283,58.3141,55.1868,90,300
1706103990,20.31,59.4372,55.685,0,300
1706104000,20.277,59.8044,56.185,0,300
1706104010,20.1785,59.7668,56.685,0,300
1706104020,20.054,59.6444,57.2018,0,300
1706104030,20.033,59.5181,57.7264,0,270
1706104040,20.093,59.3944,58.1868,0,0
1706104050,19.988,59.2681,58.5618,0,0
1706104060,19.605,59.1444,58.6014,0,0
1706104070,19.171,59.0181,58.545,0,0
1706104080,18.8955,58.8944,58.4486,0,0
1706104090,18.6725,58.7897,58.2821,0,0
1706104100,18.6645,58.7038,58.1572,0,0
1706104110,18.8215,58.5565,58.0303,0,0
1706104120,18.913,58.4202,57.9072,0,0
1706104130,18.907,58.3338,57.7803,0,0
1706104140,18.7755,58.2045,57.6572,0,0
1706104150,18.69,58.0781,57.5303,0,0
1706104160,18.756,57.9796,57.4072,0,0
1706104170,18.8815,57.8938,57.2803,0,0
1706104180,18.907,57.7897,57.1572,0,0
1706104190,18.737,57.7038,57.0303,0,0
1706104200,18.488,57.5781,56.9268,0,300
1706104210,18.204,57.458,56.949,0,300
1706104220,18.06,57.356,57.236,210,300
1706104230,18.027,57.5807,57.67,300,300
1706104240,18.033,58.5493,58.11,120,30
1706104250,18.06,59.6494,58.4604,0,0
1706104260,18.269,60.0754,58.5228,0,0
1706104270,18.5775,60.0762,58.4072,0,0
1706104280,18.8275,59.958,58.2971,0,0
1706104290,18.94,59.8344,58.2154,0,0
1706104300,18.94,59.7045,58.0903,0,0
1706104310,18.973,59.5565,57.97,0,0
1706104320,19.066,59.4202,57.8472,180,0
1706104330,19.1585,59.6038,57.7371,300,0
1706104340,19.0855,60.4654,57.6554,150,0
1706104350,18.934,61.5669,57.5303,0,0
1706104360,19.0505,62.0741,57.4072,0,0
1706104370,19.223,62.0762,57.2971,0,0
1706104380,19.25,61.9328,57.2154,0,0
1706104390,19.3545,61.7435,57.0903,0,0
1706104400,19.539,61.5571,56.97,0,270
1706104410,19.4495,61.3518,56.934,0,300
1706104420,19.277,61.1241,57.1778,0,300
1706104430,19.25,60.9119,57.6268,0,300
1706104440,19.3545,60.6841,58.1082,0,60
1706104450,19.407,60.5187,58.4604,0,0
1706104460,19.3085,60.3728,58.5564,0,0
1706104470,19.0795,60.2051,58.5264,0,0
1706104480,18.8685,60.0781,58.4072,0,0
1706104490,18.81,59.958,58.2971,0,0
1706104500,18.81,59.8344,58.2154,150,0
1706104510,18.777,59.9097,58.0903,300,0
1706104520,18.75,60.6572,57.97,300,240
1706104530,18.8215,62.0053,57.9508,300,300
1706104540,18.946,63.444,58.2192,300,300
1706104550,19.066,64.8588,58.6286,300,300
1706104560,19.2245,66.2547,59.125,300,300
1706104570,19.3815,67.6688,59.6418,300,300
1706104580,19.473,69.0431,60.1832,180,300
1706104590,19.566,70.2394,60.685,0,300
1706104600,19.6585,70.7797,61.2018,0,90
1706104610,19.756,70.6822,61.676,0,0
1706104620,19.8485,70.4719,61.8722,0,0
1706104630,19.946,70.2009,61.8604,0,0
1706104640,20.066,69.9131,61.7953,0,0
1706104650,20.1915,69.6409,61.7154,0,0
1706104660,20.3215,69.3531,61.6071,120,0
1706104670,20.413,69.2825,61.5282,300,0
1706104680,20.44,69.8191,61.4268,210,210
1706104690,20.506,70.8278,61.4322,0,300
1706104700,20.593,71.409,61.6778,0,300
1706104710,20.62,71.3122,62.1268,0,300
1706104720,20.6585,71.0803,62.625,0,300
1706104730,20.723,70.7895,63.1418,0,300
1706104740,20.783,70.511,63.6832,0,300
1706104750,20.81,70.2231,64.2018,0,300
1706104760,20.8485,69.9725,64.7432,0,300
1706104770,20.913,69.7441,65.245,0,300
1706104780,20.973,69.5571,65.745,0,300
1706104790,21,69.3518,66.245,0,300
1706104800,21.033,69.1241,66.7282,0,120
1706104810,21.093,68.9587,67.1168,0,0
1706104820,21.12,68.8128,67.2857,0,0
1706104830,21.1585,68.6235,67.2154,0,0
1706104840,21.19,68.4587,67.0903,0,0
1706104850,21.223,68.3128,66.9504,0,0
1706104860,21.25,68.1235,66.7821,0,0
1706104870,21.283,67.9587,66.6572,0,0
1706104880,21.31,67.8344,66.5135,0,180
1706104890,21.3485,67.6829,66.419,0,300
1706104900,21.38,67.5187,66.6028,0,300
1706104910,21.413,67.3944,66.989,0,300
1706104920,21.44,67.2681,67.4203,90,300
1706104930,21.473,67.2596,67.8768,300,300
1706104940,21.5,67.8029,68.3582,300,300
1706104950,21.533,69.0666,68.7972,300,300
1706104960,21.56,70.5256,69.2303,300,150
1706104970,21.593,72.025,69.6168,300,0
1706104980,21.62,73.5034,69.7857,240,0
1706104990,21.62,74.8288,69.7154,0,0
1706105000,21.6585,75.5956,69.5903,0,0
1706105010,21.69,75.6203,69.4504,0,0
1706105020,21.69,75.4119,69.2821,0,0
1706105030,21.723,75.1625,69.1572,0,0
1706105040,21.75,74.9125,69.0135,0,0
1706105050,21.75,74.6625,68.849,0,0
1706105060,21.783,74.3909,68.7175,0,0
1706105070,21.8485,74.1031,68.5903,0,0
1706105080,21.88,73.8525,68.4504,0,0
